#L TT EE BB TE PP TP EP WW WP WT WE FF FP FW FT FE
7.700000e+01 2.034300e+03 4.237800e-01 0.000000e+00 -9.044700e+00 1.185100e-07 5.006700e-04 -1.459800e-06 6.783518e-12 6.783518e-12 6.783518e-12 6.783518e-12 6.510527e-09 6.510527e-09 6.510527e-09 6.510527e-09 6.510527e-09
7.800000e+01 2.060200e+03 4.383100e-01 0.000000e+00 -9.573400e+00 1.178300e-07 4.935400e-04 -1.462700e-06 6.840624e-12 6.840624e-12 6.840624e-12 6.840624e-12 6.787170e-09 6.787170e-09 6.787170e-09 6.787170e-09 6.787170e-09
7.900000e+01 2.086300e+03 4.529800e-01 0.000000e+00 -1.011000e+01 1.171400e-07 4.865800e-04 -1.460400e-06 6.896721e-12 6.896721e-12 6.896721e-12 6.896721e-12 7.070917e-09 7.070917e-09 7.070917e-09 7.070917e-09 7.070917e-09
8.000000e+01 2.112700e+03 4.678000e-01 0.000000e+00 -1.065600e+01 1.164500e-07 4.797500e-04 -1.453500e-06 6.951824e-12 6.951824e-12 6.951824e-12 6.951824e-12 7.361806e-09 7.361806e-09 7.361806e-09 7.361806e-09 7.361806e-09
8.100000e+01 2.139200e+03 4.827300e-01 0.000000e+00 -1.121300e+01 1.157600e-07 4.730600e-04 -1.442800e-06 7.005946e-12 7.005946e-12 7.005946e-12 7.005946e-12 7.659872e-09 7.659872e-09 7.659872e-09 7.659872e-09 7.659872e-09
8.200000e+01 2.166100e+03 4.977700e-01 0.000000e+00 -1.177800e+01 1.150800e-07 4.664900e-04 -1.430500e-06 7.059102e-12 7.059102e-12 7.059102e-12 7.059102e-12 7.965149e-09 7.965149e-09 7.965149e-09 7.965149e-09 7.965149e-09
8.300000e+01 2.193100e+03 5.129000e-01 0.000000e+00 -1.235300e+01 1.144000e-07 4.600700e-04 -1.419500e-06 7.111307e-12 7.111307e-12 7.111307e-12 7.111307e-12 8.277667e-09 8.277667e-09 8.277667e-09 8.277667e-09 8.277667e-09
8.400000e+01 2.220500e+03 5.281300e-01 0.000000e+00 -1.293500e+01 1.137100e-07 4.538000e-04 -1.412300e-06 7.162573e-12 7.162573e-12 7.162573e-12 7.162573e-12 8.597452e-09 8.597452e-09 8.597452e-09 8.597452e-09 8.597452e-09
8.500000e+01 2.247900e+03 5.434200e-01 0.000000e+00 -1.352600e+01 1.130300e-07 4.476900e-04 -1.411600e-06 7.212917e-12 7.212917e-12 7.212917e-12 7.212917e-12 8.924531e-09 8.924531e-09 8.924531e-09 8.924531e-09 8.924531e-09
8.600000e+01 2.275600e+03 5.587800e-01 0.000000e+00 -1.412500e+01 1.123600e-07 4.417400e-04 -1.419400e-06 7.262350e-12 7.262350e-12 7.262350e-12 7.262350e-12 9.258924e-09 9.258924e-09 9.258924e-09 9.258924e-09 9.258924e-09
8.700000e+01 2.303800e+03 5.742000e-01 0.000000e+00 -1.473100e+01 1.116800e-07 4.359500e-04 -1.433900e-06 7.310888e-12 7.310888e-12 7.310888e-12 7.310888e-12 9.600654e-09 9.600654e-09 9.600654e-09 9.600654e-09 9.600654e-09
8.800000e+01 2.331900e+03 5.896700e-01 0.000000e+00 -1.534300e+01 1.110100e-07 4.303000e-04 -1.452600e-06 7.358543e-12 7.358543e-12 7.358543e-12 7.358543e-12 9.949736e-09 9.949736e-09 9.949736e-09 9.949736e-09 9.949736e-09
8.900000e+01 2.360400e+03 6.051900e-01 0.000000e+00 -1.596400e+01 1.103300e-07 4.247800e-04 -1.473000e-06 7.405328e-12 7.405328e-12 7.405328e-12 7.405328e-12 1.030618e-08 1.030618e-08 1.030618e-08 1.030618e-08 1.030618e-08
9.000000e+01 2.389200e+03 6.207200e-01 0.000000e+00 -1.658900e+01 1.096600e-07 4.193800e-04 -1.492600e-06 7.451256e-12 7.451256e-12 7.451256e-12 7.451256e-12 1.067001e-08 1.067001e-08 1.067001e-08 1.067001e-08 1.067001e-08
9.100000e+01 2.418100e+03 6.362400e-01 0.000000e+00 -1.722100e+01 1.090000e-07 4.140800e-04 -1.509300e-06 7.496341e-12 7.496341e-12 7.496341e-12 7.496341e-12 1.104123e-08 1.104123e-08 1.104123e-08 1.104123e-08 1.104123e-08
